1.000000 0.000000
0.980118 0.006007
0.960243 0.011863
0.940385 0.017554
0.920550 0.023069
0.900746 0.028397
0.880982 0.033529
0.861264 0.038456
0.841602 0.043169
0.822002 0.047662
0.802473 0.051929
0.783021 0.055966
0.763656 0.059768
0.744383 0.063333
0.725212 0.066660
0.706150 0.069748
0.687203 0.072599
0.668381 0.075212
0.649689 0.077591
0.631136 0.079740
0.612729 0.081663
0.594475 0.083364
0.576381 0.084849
0.558455 0.086125
0.540703 0.087198
0.523132 0.088076
0.505751 0.088767
0.488565 0.089278
0.471580 0.089618
0.454805 0.089796
0.438246 0.089819
0.421908 0.089696
0.405799 0.089435
0.389925 0.089045
0.374292 0.088534
0.358906 0.087909
0.343774 0.087178
0.328902 0.086347
0.314294 0.085424
0.299958 0.084414
0.285898 0.083323
0.272121 0.082157
0.258632 0.080919
0.245435 0.079615
0.232537 0.078248
0.219943 0.076820
0.207656 0.075336
0.195683 0.073796
0.184028 0.072204
0.172696 0.070560
0.161691 0.068866
0.151017 0.067121
0.140678 0.065328
0.130680 0.063486
0.121025 0.061595
0.111717 0.059655
0.102761 0.057666
0.094160 0.055628
0.085916 0.053542
0.078034 0.051406
0.070517 0.049220
0.063367 0.046986
0.056587 0.044703
0.050180 0.042372
0.044149 0.039994
0.038495 0.037569
0.033222 0.035099
0.028331 0.032586
0.023824 0.030031
0.019703 0.027437
0.015969 0.024806
0.012625 0.022141
0.009671 0.019444
0.007108 0.016720
0.004938 0.013972
0.003161 0.011202
0.001779 0.008417
0.000791 0.005618
0.000198 0.002811
0.000000 0.000000
0.000198 -0.001987
0.000791 -0.003966
0.001779 -0.005929
0.003161 -0.007869
0.004938 -0.009777
0.007108 -0.011647
0.009671 -0.013472
0.012625 -0.015245
0.015969 -0.016960
0.019703 -0.018611
0.023824 -0.020195
0.028331 -0.021705
0.033222 -0.023138
0.038495 -0.024491
0.044149 -0.025762
0.050180 -0.026948
0.056587 -0.028047
0.063367 -0.029059
0.070517 -0.029984
0.078034 -0.030822
0.085916 -0.031573
0.094160 -0.032238
0.102761 -0.032819
0.111717 -0.033318
0.121025 -0.033737
0.130680 -0.034077
0.140678 -0.034343
0.151017 -0.034536
0.161691 -0.034659
0.172696 -0.034714
0.184028 -0.034706
0.195683 -0.034635
0.207656 -0.034505
0.219943 -0.034318
0.232537 -0.034077
0.245435 -0.033784
0.258632 -0.033440
0.272121 -0.033048
0.285898 -0.032610
0.299958 -0.032126
0.314294 -0.031599
0.328902 -0.031031
0.343774 -0.030422
0.358906 -0.029773
0.374292 -0.029088
0.389925 -0.028366
0.405799 -0.027611
0.421908 -0.026823
0.438246 -0.026005
0.454805 -0.025159
0.471580 -0.024288
0.488565 -0.023396
0.505751 -0.022484
0.523132 -0.021557
0.540703 -0.020619
0.558455 -0.019674
0.576381 -0.018726
0.594475 -0.017779
0.612729 -0.016839
0.631136 -0.015910
0.649689 -0.014995
0.668381 -0.014099
0.687203 -0.013226
0.706150 -0.012379
0.725212 -0.011559
0.744383 -0.010768
0.763656 -0.010005
0.783021 -0.009269
0.802473 -0.008555
0.822002 -0.007858
0.841602 -0.007171
0.861264 -0.006481
0.880982 -0.005775
0.900746 -0.005037
0.920550 -0.004246
0.940385 -0.003377
0.960243 -0.002402
0.980118 -0.001289
1.000000 -0.000000
